title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
F1 Challenge,Sat,Racing,Virgin Interactive,Bell Corporation,,0.18,,0.18,,0.0,1996-01-01
Juiced,Xb,Racing,Thq,Juice Games,,0.18,0.13,,0.04,0.01,2005-06-13
Sonic Riders: Zero Gravity,Ps2,Racing,Sega,Sonic Team,,0.18,0.09,,0.07,0.02,2008-01-08
Ridge Racer,Psv,Racing,Namco Bandai Games,Namco Bandai Games / Celius,,0.18,0.03,0.05,0.08,0.02,2012-03-13
MotoGP 15,Ps4,Racing,Milestone S.R.L.,Milestone S.R.L.,,0.18,,0.04,0.13,0.02,2015-06-24
MotoGP,Wii,Racing,Capcom,Milestone Inc.,,0.18,0.05,,0.11,0.02,2009-03-24
Test Drive Off-Road Wide Open,Xb,Racing,Infogrames,Rockstar San Diego,,0.18,0.15,,0.03,0.01,2001-11-14
Tokyo Xtreme Racer DRIFT,Ps2,Racing,Crave Entertainment,Genki,,0.18,0.09,,0.07,0.02,2006-04-18
Mahjong: Journey Quest for Tikal,Ds,Puzzle,Mumbo Jumbo,Cerasus Media,,0.18,0.15,,0.02,0.01,2010-07-20
Bendy and the Ink Machine,Ps4,Puzzle,Rooster Teeth Games,Themeatly Games,,0.18,0.15,,,0.03,2018-11-20
Jewel Master: Cradle of Athena,Ds,Puzzle,Storm City Games,Tbd,,0.18,0.17,,,0.01,2010-10-26
Squeeballs Party,Ds,Puzzle,Aksys Games,Eiconic Games,,0.18,0.17,,0.0,0.01,2009-10-12
The Adventures of Cookie & Cream,Ps2,Puzzle,Agetec,From Software,,0.18,0.09,,0.07,0.02,2001-04-30
Shadow The Hedgehog,Xb,Platform,Sega,Sonic Team,5.0,0.18,0.13,,0.04,0.01,2005-11-15
Ben 10 Ultimate Alien: Cosmic Destruction,X360,Platform,D3 Publisher,Papaya Studios,,0.18,0.1,,0.06,0.02,2010-10-05
Despicable Me: The Game,Psp,Platform,D3 Publisher,Monkey Bar Games,,0.18,0.05,,0.09,0.04,2010-07-06
Mega Man III,Gb,Platform,Capcom,Capcom,,0.18,,0.18,,,1992-01-01
Disney's Tarzan Untamed,Gc,Platform,Ubisoft,Ubisoft Montreal,,0.18,0.14,,0.04,0.0,2001-11-17
Looney Tunes: Back in Action,Gba,Platform,Electronic Arts,Warthog,,0.18,0.13,,0.05,0.0,2003-11-11
Scooby-Doo! Unmasked,Gba,Platform,Thq,Artificial Mind And Movement,,0.18,0.13,,0.05,0.0,2005-09-12
Doctor Who: Return to Earth,Wii,Adventure,Asylum Entertainment,Asylum Entertainment,,0.18,,,0.16,0.02,2010-11-12
Alone In The Dark,Wii,Adventure,Atari,Hydravision Entertainment,3.1,0.18,0.09,,0.08,0.02,2008-06-23
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Ds,Adventure,Buena Vista,Griptonite Games,,0.18,0.15,,0.01,0.01,2005-11-14
Vampire Savior: The Lord of Vampire,Sat,Fighting,Capcom,Capcom,,0.18,,0.18,,0.0,1998-04-16
WWE SmackDown vs. Raw 2009,Ds,Fighting,Thq,Tose,,0.18,0.14,,0.02,0.01,2008-11-09
UFC: Sudden Impact,Ps2,Fighting,Global Star Software,Opus Studio,,0.18,0.09,,0.07,0.02,2004-04-21
Lego Star Wars: The Force Awakens,Psv,Action-Adventure,Warner Bros. Interactive Entertainment,Tt Fusion,,0.18,0.02,0.02,0.1,0.03,2016-06-28
How to Train Your Dragon 2,X360,Action-Adventure,Little Orbit,Torus Games,,0.18,0.06,,0.1,0.01,2014-06-10
Klonoa: Door to Phantomile,Ps,Platform,Namco,Namco,,0.18,,0.17,,0.01,1998-06-01
de Blob 2,Wii,Platform,Thq,Blue Tongue,8.1,0.18,0.11,,0.06,0.02,2011-02-22
Call of Juarez,X360,Shooter,Ubisoft,Techland,6.9,0.18,0.14,0.0,0.02,0.01,2007-06-07
Call of Duty: World at War,Pc,Shooter,Activision,Treyarch,8.6,0.18,0.02,,0.14,0.02,2008-11-10
Bad Boys: Miami Takedown,Xb,Shooter,Crave Entertainment,Blitz Games,,0.18,0.14,,0.04,0.01,2004-09-14
Call of Duty: Modern Warfare Trilogy,X360,Shooter,Activision,Infinity Ward,,0.18,0.13,,0.04,0.02,2016-05-17
Syndicate,X360,Shooter,Electronic Arts,Electronic Arts,,0.18,0.1,,0.06,0.02,2012-02-21
Vietcong: Purple Haze,Ps2,Shooter,Gathering Of Developers,Coyote Developments,,0.18,0.09,,0.07,0.02,2004-09-15
PlayStation Move Heroes,Ps3,Platform,Sony Computer Entertainment,Nihilistic Software,4.8,0.18,0.09,,0.06,0.03,2011-03-22
Ty the Tasmanian Tiger,Xb,Platform,Electronic Arts,Krome Studios,7.0,0.18,0.14,,0.04,0.01,2002-09-10
Otomedius Excellent,X360,Shooter,Konami,Konami,7.0,0.18,0.13,0.04,,0.01,2011-11-01
MindJack,Ps3,Shooter,Square Enix,Feelplus,4.6,0.18,0.07,,0.08,0.03,2011-01-18
How to Train Your Dragon,Ps3,Action,Activision,Etranges Libellules,4.6,0.18,0.12,,0.03,0.02,2010-03-23
GameBoy Wars,Gb,Strategy,Nintendo,Intelligent Systems,,0.18,,0.18,,0.0,1991-05-21
Battle Commander: Hachibushu Shura no Heihou,Snes,Strategy,Banpresto,Banpresto,,0.18,,0.18,,,1991-12-29
Metal Gear Ac!d 2,Psp,Strategy,Konami,Kojima Productions,8.3,0.18,0.11,0.05,0.01,0.01,2006-03-21
Summer Athletics: The Ultimate Challenge,Ps2,Sports,Conspiracy Entertainment,49Games,,0.18,,,0.0,0.18,2008-07-29
Mega Man Soccer,Snes,Sports,Capcom,Capcom,,0.18,0.04,0.13,0.01,,1994-01-01
Backbreaker,X360,Sports,505 Games,Naturalmotion Games,5.2,0.18,0.17,,,0.01,2010-06-01
FIFA 07 Soccer,Gc,Sports,Ea Sports,Ea Canada,8.3,0.18,0.14,,0.04,0.0,2006-10-03
Grand Slam Tennis 2,X360,Sports,Ea Sports,Ea Sports,,0.18,0.1,,0.06,0.02,2012-02-14
Pro Yakyuu Spirits 2011,Ps3,Sports,Konami,Pawapuro Production,,0.18,,0.18,,,2011-04-14
Pure Futbol,X360,Sports,Ubisoft,Ubisoft Vancouver,3.8,0.18,0.08,,0.08,0.02,2010-06-01
Pro Evolution Soccer 2013,3Ds,Sports,Konami Digital Entertainment,Konami,,0.18,0.05,0.1,0.02,0.01,2013-02-12
Shaun White Skateboarding,Wii,Sports,Ubisoft,Ubisoft Montreal,,0.18,0.13,,0.03,0.01,2010-10-24
MLB 11: The Show,Psp,Sports,Sony Computer Entertainment,Scea San Diego Studios,,0.18,0.16,,,0.02,2011-03-08
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,Dc,Sports,Sega,Smilebit,,0.18,,0.18,,0.0,2000-12-21
Tiger Woods PGA Tour 2004,Gba,Sports,Ea Sports,Digital Eclipse,,0.18,0.13,,0.05,0.0,2003-11-04
FIFA Soccer 2002,Gc,Sports,Ea Sports,Ea Canada,,0.18,0.14,,0.04,0.0,2001-11-21
Cabela's Big Game Hunter: Hunting Party,X360,Sports,Activision,Activision,,0.18,0.16,,,0.02,2011-11-01
Brunswick Circuit Pro Bowling,Ps,Sports,Thq,Adrenalin Entertainment,8.2,0.18,0.1,,0.07,0.01,1998-09-30
Cabela's Dangerous Hunts 2009,Ps2,Sports,Activision,Activision,,0.18,0.09,,0.07,0.02,2008-09-23
Backyard Basketball,Gba,Sports,Atari,Mistic Software,6.0,0.18,0.13,,0.05,0.0,2004-09-22
Madden NFL 09,Xb,Sports,Ea Sports,Ea Tiburon,,0.18,0.13,,0.04,0.01,2008-08-12
Backbreaker,Ps3,Sports,505 Games,Naturalmotion Games,,0.18,0.16,,,0.02,2010-06-01
NHL 2004,Xb,Sports,Ea Sports,Ea Black Box,,0.18,0.13,,0.04,0.01,2003-09-22
Sniper: Ghost Warrior 3,Xone,Shooter,City Interactive,City Interactive,,0.18,0.11,,0.05,0.02,2017-04-25
Velvet Assassin,X360,Shooter,Southpeak Interactive,Replay Studios,5.3,0.18,0.14,0.01,0.02,0.01,2009-04-30
Charlie and the Chocolate Factory,Gc,Adventure,Global Star Software,High Voltage Software,3.9,0.18,0.14,,0.04,0.0,2005-07-11
Siren,Ps2,Adventure,Sony Computer Entertainment,Sce Japan Studio,,0.18,0.09,,0.07,0.02,2003-11-06
Jurassic Park III: Island Attack,Gba,Adventure,Konami,Konami,4.9,0.18,0.13,,0.05,0.0,2001-11-26
The Chronicles of Narnia: Prince Caspian,X360,Adventure,Disney Interactive Studios,Traveller'S Tales,6.3,0.18,0.16,,0.01,0.01,2008-05-15
Back to the Future: The Game,Ps4,Adventure,Telltale Games,Telltale Games,,0.18,0.1,,0.05,0.03,2015-10-13
Silent Hill 4: The Room,Xb,Adventure,Konami,Kcet,,0.18,0.14,,0.04,0.01,2004-09-07
Pirates: Hunt For Blackbeard's Booty,Wii,Adventure,Activision,Activision,,0.18,0.08,,0.08,0.02,2008-10-28
Escape the Museum,Ds,Adventure,Gamemill,Gogii Games,,0.18,0.04,,0.12,0.02,2010-01-12
Danganronpa V3: Killing Harmony,Psv,Adventure,Nis America,Spike Chunsoft,,0.18,0.02,0.13,0.01,0.01,2017-09-26
Hello Kitty: Birthday Adventures,Ds,Adventure,Zoo Games,Onenine Studios,,0.18,0.06,,0.1,0.02,2010-02-23
Tomb Raider: Underworld,Ps2,Adventure,Eidos Interactive,Crystal Dynamics,,0.18,0.09,,0.04,0.05,2009-03-03
Danganronpa 2: Goodbye Despair,Psv,Adventure,Nis America,Spike Chunsoft,,0.18,0.08,,0.05,0.04,2014-09-02
Nancy Drew: The Hidden Staircase,Ds,Adventure,Thq,Gorilla Systems,,0.18,0.16,,,0.01,2008-09-22
LEGO Island 2: The Brickster's Revenge,Ps,Adventure,Lego Media,Silicon Dreams,,0.18,0.1,,0.07,0.01,2001-03-01
Fancy Nancy: Tea Party Time!,Ds,Adventure,Thq,Webfoot Technologies,,0.18,0.16,,,0.01,2010-09-14
Ringling Bros. and Barnum & Bailey: Circus Friends,Ds,Action,2K Play,2K Games,,0.18,0.16,,0.0,0.01,2009-11-10
Mobile Suit Gundam Seed Destiny: Generation of C.E.,Ps2,Action,Bandai,Bandai,,0.18,,0.18,,,2005-08-25
Twisted Metal: Small Brawl,Ps,Action,Sony Computer Entertainment,Incognito Inc.,,0.18,0.1,,0.07,0.01,2001-11-26
Active Health with Carol Vorderman,Ds,Sports,Nintendo,Fuse Games Limited,,0.18,,,0.18,0.01,2009-08-07
Sports Illustrated for Kids: Football,Gba,Sports,Bam! Entertainment,Sennari Interactive,,0.18,0.13,,0.05,0.0,2003-08-31
Shape Up,Xone,Sports,Ubisoft,Ubisoft Montreal,,0.18,0.08,,0.09,0.01,2014-11-11
Reel Fishing II,Ps,Sports,Natsume,Open Sesame,,0.18,0.1,,0.07,0.01,2000-06-14
Gokujou Parodius,Snes,Shooter,Konami,Konami,,0.18,,0.18,,,1994-11-25
Gun,Gc,Shooter,Activision,Neversoft Entertainment,7.9,0.18,0.14,,0.04,0.0,2005-11-08
Star Wars Battlefront II,Pc,Shooter,Lucasarts,Pandemic Studios,,0.18,0.03,,0.14,0.02,2005-11-01
Brink,Pc,Shooter,Bethesda Softworks,Splash Damage,7.0,0.18,0.06,,0.09,0.03,2011-05-10
Close Combat: First to Fight,Xb,Shooter,2K Games,Destineer,,0.18,0.14,,0.04,0.01,2005-04-06
NARC,Xb,Shooter,Midway Games,Point Of View,5.5,0.18,0.14,,0.04,0.01,2005-03-22
Hatsune Miku and Future Stars: Project Mirai,3Ds,Misc,Sega,Unknown,,0.18,,0.18,,,2012-03-08
Jeopardy!,Ds,Misc,Thq,Griptonite Games,,0.18,0.17,,,0.01,2010-11-02
TalkMan (Japan),Psp,Misc,Sony Computer Entertainment,Sony Computer Entertainment,,0.18,,0.18,,,2005-11-17
You Don't Know Jack,Ps3,Misc,Thq,"Jellyvision, Inc.",8.2,0.18,0.16,,,0.02,2011-02-08
Rio,Wii,Misc,Thq,Tba,,0.18,0.13,,0.04,0.01,2011-04-12
Rabbids Party Collection,Wii,Misc,Ubisoft,Ubisoft Montpellier,,0.18,,,0.16,0.02,2010-08-27
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,Gba,Misc,Nintendo,Nintendo,,0.18,0.13,,0.05,0.0,2004-09-27
NBA Hoopz,Ps2,Sports,Midway Games,Eurocom Entertainment Software,,0.18,0.09,,0.07,0.02,2001-02-26
ESPN X Games Skateboarding,Gba,Sports,Konami,Konami Computer Entertainment Hawaii,5.7,0.18,0.13,,0.05,0.0,2001-09-12
College Hoops 2K8,X360,Sports,2K Sports,Visual Concepts,,0.18,0.16,,,0.01,2007-11-19
Speedball 2100,Ps,Sports,Take-Two Interactive,Bitmap Brothers,,0.18,0.1,,0.07,0.01,2000-10-24
My Fitness Coach 2: Exercise and Nutrition,Wii,Sports,Ubisoft,Lightning Fish,,0.18,0.13,,0.04,0.01,2010-01-05
Brunswick Pro Bowling,Ps3,Sports,Crave Entertainment,Farsight Studios,,0.18,0.1,,0.05,0.02,2010-09-21
International Superstar Soccer 2000 (JP weekly sales),N64,Sports,Konami,Kceo,,0.18,,0.18,,,2000-08-03
Remington Super Slam Hunting: North America,Wii,Sports,Mastiff,Mastiff,,0.18,0.17,,,0.01,2010-11-09
Pro Yakyuu Spirits 5,Ps2,Sports,Konami,Pawapuro Production,,0.18,,0.18,,,2008-04-01
NFL 2K2,Xb,Sports,Sega,Visual Concepts,,0.18,0.13,,0.04,0.01,2002-01-09
NBA Starting Five,Ps2,Sports,Konami,Konami,,0.18,0.09,,0.07,0.02,2002-10-27
Star Trek: Legacy,X360,Simulation,Bethesda Softworks,Mad Doc Software,6.4,0.18,0.14,,0.02,0.01,2006-12-14
AirForce Delta Storm,Xb,Simulation,Konami,Kce Studios,,0.18,0.14,,0.04,0.01,2001-11-14
A.C.E.: Another Century's Episode 2,Ps2,Simulation,Banpresto,From Software,,0.18,,0.18,,,2006-03-30
Fireblade,Ps2,Simulation,Midway Games,Kuju Entertainment,,0.18,0.09,,0.07,0.02,2002-06-16
Cities: Skylines,Xone,Simulation,Koch Media,Colossal Order,,0.18,0.13,,0.03,0.02,2017-04-21
Senran Kagura: Estival Versus,Ps4,Action,Xseed Games,Marvelous Entertainment,,0.18,0.08,0.09,,0.02,2016-03-15
Marvel Super Hero Squad: Comic Combat,X360,Action,Thq,Thq,,0.18,0.13,,0.04,0.02,2011-11-15
Splatterhouse,X360,Action,Namco Bandai,Bottlerocket,,0.18,0.14,,0.03,0.01,2010-11-23
Toukiden,Psp,Action,Tecmo Koei,Omega Force,,0.18,,0.18,,,2013-06-27
Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,Atlus,8Ing/Raizing,4.3,0.18,0.11,0.05,0.02,0.01,2010-11-16
Ball Breakers,Ps,Action,Take-Two Interactive,Lost Toys,,0.18,0.1,,0.07,0.01,2000-07-26
Sumikko Gurashi: Koko ga Ochitsukundesu,3Ds,Action,Nippon Columbia,Nippon Columbia,,0.18,,0.18,,,2014-11-20
Gauntlet: Dark Legacy,Gc,Action,Midway Games,Midway Games West,,0.18,0.14,,0.04,0.0,2002-03-06
Biohazard: Revival Selection,Ps3,Action,Capcom,Capcom,,0.18,,0.18,,,2011-09-08
Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,Omega Force,6.5,0.18,0.11,0.02,0.03,0.01,2011-06-28
One Piece: Pirate Warriors 3,Psv,Action,Tecmo Koei,Omega Force,,0.18,,0.14,0.03,0.01,2015-08-25
Six Flags Fun Park,Ds,Misc,Brash Entertainment,7 Studios,,0.18,0.17,,,0.01,2008-11-11
Sing4: The Hits Edition,Wii,Misc,Crave Entertainment,Crave,,0.18,0.17,,,0.01,2011-08-30
Jampack Vol. 1,Ps,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,,0.18,0.1,,0.07,0.01,1997-01-01
Sesame Street: Elmo's Letter Adventure,N64,Misc,Newkidco,Realtime Associates,,0.18,0.14,,0.04,0.0,1999-11-15
The Game of Life / Yahtzee / Payday,Gba,Misc,Dsi Games,Black Lantern Studios,,0.18,0.13,,0.05,0.0,2005-11-07
Atari Anniversary Edition Redux,Ps,Misc,Infogrames,Digital Eclipse,,0.18,0.1,,0.07,0.01,2001-01-01
Sega Genesis Classics,Ns,Misc,Sega,Sega,,0.18,0.1,,0.06,0.02,2018-12-07
Chuck E. Cheese's Party Games,Ds,Misc,Ufo Interactive,"Black Lantern Studios, Inc.",,0.18,0.17,,,0.01,2010-07-13
EyeToy: Groove,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,0.18,0.09,,0.07,0.02,2004-04-20
Lips: Party Classics,X360,Misc,Microsoft Game Studios,Inis,,0.18,0.05,,0.11,0.02,2010-03-02
All Grown Up! Express Yourself,Gba,Misc,Thq,Altron,3.7,0.18,0.13,,0.05,0.0,2004-10-19
Cabela's Adventure Camp,Wii,Misc,Activision,Activision,,0.18,0.14,,0.02,0.02,2011-11-01
Yu-Gi-Oh! Zexal Clash! Duel Carnival!,3Ds,Misc,Konami Digital Entertainment,Konami,,0.18,,0.08,0.09,0.01,2014-09-30
Namco Museum: 50th Anniversary,Xb,Misc,Namco,Digital Eclipse,,0.18,0.13,,0.04,0.01,2005-08-30
Ringling Bros. and Barnum & Bailey Circus,Wii,Action,2K Play,2K Games,,0.18,0.17,,0.0,0.01,2009-11-10
Fear Effect 2: Retro Helix,Ps,Action,Eidos Interactive,Kronos Digital Entertainment,,0.18,0.1,,0.07,0.01,2001-02-21
Mushroom Men: The Spore Wars,Wii,Action,Southpeak Interactive,Red Fly Studio,7.3,0.18,0.16,,0.01,0.01,2008-12-02
Marvel Super Hero Squad: Comic Combat,Wii,Action,Thq,Thq,,0.18,0.14,,0.03,0.02,2011-11-15
The Last Airbender,Ds,Action,Thq,Thq,,0.18,0.13,,0.04,0.02,2010-06-29
Dragon Blade: Wrath of Fire,Wii,Action,D3 Publisher,D3 Publisher,,0.18,0.17,,0.0,0.01,2007-09-25
Ghostbusters: The Video Game,Psp,Action,Atari,Red Fly Studio,,0.18,0.16,,0.01,0.02,2009-10-30
The Munchables,Wii,Action,Namco Bandai,Namco Bandai Games,8.0,0.18,0.17,0.0,0.0,0.01,2009-05-26
Resident Evil: Revelations,Ps4,Action,Capcom,Capcom,7.2,0.18,0.06,0.04,0.06,0.02,2017-08-29
Shrek SuperSlam,Ds,Action,Activision,Amaze Entertainment / Griptonite Games,,0.18,0.17,,0.0,0.01,2005-10-25
Senran Kagura 2: Deep Crimson,3Ds,Action,Marvelous Entertainment,Tamsoft,,0.18,0.06,0.08,0.02,0.01,2015-09-15
Mobile Suit Gundam: Extreme VS Force,Psv,Action,Namco Bandai Games,Namco Bandai Games,,0.18,,0.18,,,2017-01-01
Cabela's Big Game Hunter 2005 Adventures,Xb,Action,Activision,Fun Labs,,0.18,0.13,,0.04,0.01,2004-11-23
Indiana Jones and the Emperor's Tomb,Xb,Action,Lucasarts,The Collective,,0.18,0.14,,0.04,0.01,2003-02-24
Buffy the Vampire Slayer: Chaos Bleeds,Ps2,Action,Vu Games,Eurocom Entertainment Software,,0.18,0.09,,0.07,0.02,2003-08-27
Casper: Friends Around the World,Ps,Action,Sound Source Interactive,"Sound Source Interactive, Inc.",,0.18,0.1,,0.07,0.01,2000-11-06
SoulCalibur Legends,Wii,Action,Namco Bandai,Project Soul,4.8,0.18,0.16,,0.01,0.01,2007-11-20
Batman: Vengeance,Gba,Action,Ubisoft,Ubisoft,6.2,0.18,0.13,,0.05,0.0,2001-10-30
Spider-Man: Friend or Foe,Psp,Action,Activision,Artificial Mind And Movement,5.0,0.18,0.16,,0.0,0.01,2007-10-02
Van Helsing,Xb,Action,Vu Games,Saffire Corporation,,0.18,0.13,,0.04,0.01,2007-05-06
Hellboy: The Science of Evil,Ps3,Action,Konami,Krome Studios,,0.18,0.14,,0.02,0.02,2008-06-24
X-Men Origins: Wolverine,Ps2,Action,Activision,Amaze Entertainment,,0.18,0.13,,0.0,0.05,2009-05-01
Big Hero 6: Battle in the Bay,3Ds,Action,Gamemill,Gamemill,,0.18,,,0.17,0.01,2014-10-28
Anarchy Reigns,X360,Action,Sega,Platinumgames,,0.18,0.12,0.02,0.02,0.02,2013-01-08
College Hoops 2K7,Ps3,Sports,2K Sports,Visual Concepts,8.2,0.18,0.16,,,0.01,2007-03-13
K-1 World Grand Prix,Ps2,Sports,Konami,Konami,,0.18,0.04,0.1,0.03,0.01,2003-07-09
FIFA Soccer 11,Pc,Sports,Ea Sports,Hb Studios,8.4,0.18,,,0.15,0.03,2010-09-28
Virtua Tennis,Gba,Sports,Thq,Altron,,0.18,0.13,,0.05,0.0,2002-10-08
Dance Dance Revolution: Disney Grooves,Wii,Simulation,Konami,Bemani,,0.18,0.17,,,0.01,2009-04-02
Armored Core: Last Raven,Ps2,Simulation,Agetec,From Software,,0.18,0.05,0.08,0.04,0.01,2006-06-13
SimCity Creator (JP sales),Ds,Simulation,Electronic Arts,The Sims Studio,,0.18,,0.18,,,2008-03-19
EyePet & Friends,Ps3,Simulation,Sony Computer Entertainment,Scee London Studio,,0.18,0.06,,0.09,0.03,2011-11-15
Chaotic: Shadow Warriors,Ds,Action,Activision,Activision,,0.18,0.17,,,0.01,2009-11-17
Valhalla Knights 3,Psv,Misc,Xseed Games,Unknown,,0.18,0.04,0.12,0.01,0.02,2013-10-15
Amplitude,Ps2,Misc,Sony Computer Entertainment,Harmonix Music Systems,,0.18,0.09,,0.07,0.02,2003-03-24
Monopoly Party,Xb,Misc,Infogrames,Runecraft,,0.18,0.14,,0.04,0.01,2002-10-29
Atari Anniversary Advance,Gba,Misc,Atari,Digital Eclipse,7.7,0.18,0.13,,0.05,0.0,2002-03-25
Nep League DS,Ds,Sports,Jaleco,Jaleco Entertainment,,0.18,,0.18,,,2007-12-06
Harvest Moon: A Wonderful Life Special Edition,Ps2,Simulation,Natsume,Marvelous Interactive,,0.18,0.09,,0.07,0.02,2005-10-28
Senran Kagura: Estival Versus,Psv,Action,Xseed Games,Marvelous Entertainment,,0.18,0.04,0.1,0.03,0.02,2016-03-15
Conception II: Children of the Seven Stars,Psv,Role-Playing,Atlus,Spike Chunsoft,,0.18,0.11,0.04,,0.04,2014-04-15
Cars: Race-O-Rama,Ps3,Racing,Thq,Rainbow Studios,,0.18,0.14,,0.03,0.02,2009-10-13
F1 2011,Pc,Racing,Codemasters,Codemasters Birmingham,8.1,0.18,,,0.15,0.04,2011-09-19
Driving Emotion Type-S,Ps2,Racing,Square,Escape,,0.18,0.04,0.11,0.03,0.01,2001-01-29
DiRT Showdown,Ps3,Racing,Codemasters,Codemasters,,0.18,0.02,,0.12,0.03,2012-06-12
American Chopper 2: Full Throttle,Ps2,Racing,Activision,Creat Studio,,0.18,0.09,,0.07,0.02,2005-11-20
Burnout Legends,Ds,Racing,Electronic Arts,Visual Impact,3.8,0.18,0.15,,0.02,0.01,2005-11-29
Full Auto 2: Battlelines,Ps3,Racing,Sega,Pseudo Interactive,6.7,0.18,0.14,,0.02,0.02,2006-12-07
Fight Club,Ps2,Fighting,Vu Games,Genuine Games,,0.18,0.09,,0.07,0.02,2004-11-16
Dead or Alive,Sat,Fighting,Tecmo,Team Ninja,7.9,0.18,,0.18,,0.0,1997-10-09
Bloody Roar: Primal Fury,Gc,Fighting,Activision,Eighting / Raizing,7.9,0.18,0.14,,0.04,0.0,2002-03-18
Commandos 2: Men of Courage,Ps2,Strategy,Eidos Interactive,Pyro Studios,,0.18,0.09,,0.07,0.02,2002-08-28
Kidou Senshi Gundam: Senjou no Kizuna Portable,Psp,Strategy,Namco Bandai,Access Games,,0.18,,0.18,,,2009-03-26
Super Robot Taisen A Portable,Psp,Strategy,Namco Bandai,Banpresto,,0.18,,0.18,,,2008-06-19
Super Robot Taisen J,Gba,Strategy,Banpresto,Al,,0.18,,0.18,,0.0,2005-09-15
Hatsune Miku: Project Diva X,Psv,Music,Sega,Sega,,0.18,0.05,0.12,,0.02,2016-08-30
Zumba Fitness Rush,X360,Music,Majesco Entertainment,Majesco Entertainment,,0.18,0.0,,0.16,0.02,2012-02-14
Country Dance: All Stars,X360,Music,Gamemill Entertainment,Gamemill Entertainment,,0.18,0.16,,,0.02,2012-03-27
Chocobo no Fushigi Dungeon for WonderSwan,Ws,Role-Playing,Bandai,Squaresoft,,0.18,,0.18,,0.0,1999-03-04
Digimon Story: Cyber Sleuth,Psv,Role-Playing,Namco Bandai Games,Media.Vision,,0.18,0.0,0.18,,0.0,2016-02-02
The Elder Scrolls IV: Shivering Isles,X360,Role-Playing,Bethesda Softworks,Bethesda Softworks,8.9,0.18,0.17,,,0.01,2007-10-16
Might & Magic: Clash of Heroes,Ds,Role-Playing,Ubisoft,Capybara Games,8.6,0.18,0.15,,0.02,0.01,2009-12-01
.hack//G.U. Vol.3//Redemption,Ps2,Role-Playing,Namco Bandai,Cyberconnect2,5.7,0.17,,0.17,,,2007-09-10
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,Psp,Music,Namco Bandai Games,Bandai Namco Games,,0.17,,0.17,,,2012-10-25
Final Fantasy XIV: Heavensward,Ps4,Mmo,Square Enix,Square Enix,,0.17,,0.06,0.09,0.02,2015-06-23
Final Fantasy XIV: Stormblood,Ps4,Mmo,Square Enix,Square Enix,,0.17,0.05,0.04,0.06,0.02,2017-06-20
Stormrise,Ps3,Strategy,Sega,The Creative Assembly,,0.17,0.13,,0.02,0.02,2009-03-24
Super Robot Taisen L,Ds,Strategy,Namco Bandai,Banpresto,,0.17,,0.17,,,2010-11-25
Just Dance 2019,Ps4,Music,Ubisoft,Ubisoft Paris,,0.17,0.11,,0.03,0.03,2018-10-23
Densetsu no Stafi 4,Ds,Platform,Nintendo,Tose,,0.17,,0.17,,,2006-04-13
Pac-Man World 3,Ds,Platform,Namco,Blitz Games,,0.17,0.15,,0.0,0.01,2005-12-07
Classic NES Series: Donkey Kong,Gba,Platform,Nintendo,Nintendo,6.5,0.17,,0.17,,,2004-06-02
Street Fighter: The Movie,Ps,Fighting,Acclaim Entertainment,Incredible Technologies,,0.17,0.1,,0.07,0.01,1995-08-10
CSI: Fatal Conspiracy,X360,Adventure,Ubisoft,Telltale Games,,0.17,0.11,,0.04,0.01,2010-10-26
Clock Tower II: The Struggle Within,Ps,Adventure,Agetec,Human Entertainment,4.4,0.17,0.02,0.12,0.01,0.01,1999-10-31
Journey,Psn,Adventure,Sony Computer Entertainment America,Thatgamecompany,,0.17,0.04,,0.11,0.01,2012-08-28
The Walking Dead - The Telltale Series: A New Frontier,Ps4,Adventure,Warner Bros. Interactive Entertainment,Telltale Games,,0.17,0.11,,0.04,0.03,2017-02-28
Fairytale Fights,X360,Action,Playlogic Game Factory,Playlogic Game Factory,4.9,0.17,0.14,,0.02,0.01,2009-10-27
Beat Down: Fists of Vengeance,Ps2,Action,Capcom,Cavia Inc.,,0.17,0.04,0.09,0.03,0.01,2005-08-23
World Destruction League: Thunder Tanks,Ps,Action,3Do,3Do,,0.17,0.09,,0.06,0.01,2000-09-09
Green Lantern: Rise of the Manhunters,Ps3,Action,Warner Bros. Interactive,Griptonite Games,6.5,0.17,0.09,,0.05,0.02,2011-06-07
James Cameron's Dark Angel,Ps2,Action,Sierra Entertainment,Radical Entertainment,,0.17,0.08,,0.07,0.02,2002-11-18
The King of Fighters '97,Ps,Fighting,Trigger Apps,Snk Corporation,,0.17,,0.16,,0.01,1998-05-28
Murdered: Soul Suspect,Xone,Action-Adventure,Square Enix,Airtight Games,,0.17,0.08,,0.07,0.01,2014-06-03
